province,year,subject_type,major,min_score,min_rank,batch,source_file,source_url
河北,2025,物理,工程管理,592,33539,本科批,hebut_hebei.xlsx,
河北,2023,物理,给排水科学与工程,576,28891,本科批,hebut_hebei.xlsx,
河北,2024,物理,给排水科学与工程,576,31850,本科批,hebut_hebei.xlsx,
河北,2025,物理,给排水科学与工程,590,35284,本科批,hebut_hebei.xlsx,
河北,2023,物理,土木工程（卓越工程师班）,589,21159,本科批,hebut_hebei.xlsx,
河北,2024,物理,土木工程（卓越工程师班）,577,31080,本科批,hebut_hebei.xlsx,
河北,2025,物理,土木工程（卓越工程师班）,589,36180,本科批,hebut_hebei.xlsx,
河北,2023,物理,建筑学,580,26321,本科批,hebut_hebei.xlsx,
河北,2024,物理,建筑学,568,38490,本科批,hebut_hebei.xlsx,
河北,2025,物理,建筑学,588,37123,本科批,hebut_hebei.xlsx,
河北,2023,物理,物联网工程（中外合作办学）,551,47295,本科批,hebut_hebei.xlsx,
河北,2024,物理,物联网工程（中外合作办学）,562,44007,本科批,hebut_hebei.xlsx,
河北,2025,物理,物联网工程（中外合作办学）,575,50224,本科批,hebut_hebei.xlsx,
河北,2023,物理,环境工程（中外合作办学）,550,48177,本科批,hebut_hebei.xlsx,
河北,2024,物理,环境工程（中外合作办学）,556,49791,本科批,hebut_hebei.xlsx,
河北,2025,物理,环境工程（中外合作办学）,573,52384,本科批,hebut_hebei.xlsx,
河北,2023,物理,电气工程及其自动化（芬兰校区）,540,56917,本科批,hebut_hebei.xlsx,
河北,2024,物理,电气工程及其自动化（芬兰校区）,553,52953,本科批,hebut_hebei.xlsx,
河北,2025,物理,电气工程及其自动化（芬兰校区）,569,56852,本科批,hebut_hebei.xlsx,
河北,2023,物理,计算机科学与技术（芬兰校区）,550,48177,本科批,hebut_hebei.xlsx,
河北,2024,物理,计算机科学与技术（芬兰校区）,558,47783,本科批,hebut_hebei.xlsx,
河北,2025,物理,计算机科学与技术（芬兰校区）,567,59117,本科批,hebut_hebei.xlsx,
河北,2023,物理,机械设计制造及其自动化（芬兰校区）,532,64617,本科批,hebut_hebei.xlsx,
河北,2024,物理,机械设计制造及其自动化（芬兰校区）,546,60449,本科批,hebut_hebei.xlsx,
河北,2025,物理,机械设计制造及其自动化（芬兰校区）,560,67726,本科批,hebut_hebei.xlsx,
河北,2023,物理,能源与动力工程（芬兰校区）,531,65566,本科批,hebut_hebei.xlsx,
河北,2024,物理,能源与动力工程（芬兰校区）,546,60449,本科批,hebut_hebei.xlsx,
河北,2025,物理,能源与动力工程（芬兰校区）,554,75607,本科批,hebut_hebei.xlsx,
河北,2023,不限,设计学类,587.6,808,本科批,hebut_hebei.xlsx,
河北,2024,不限,设计学类,552.25,871,本科批,hebut_hebei.xlsx,
河北,2025,不限,设计学类,553.25,826,本科批,hebut_hebei.xlsx,
河北,2023,历史,国家专项,573,6319,本科批,hebut_hebei.xlsx,
河北,2024,历史,国家专项,591,5803,本科批,hebut_hebei.xlsx,
河北,2025,历史,国家专项,600,6004,本科批,hebut_hebei.xlsx,
河北,2023,物理,国家专项,571,32135,本科批,hebut_hebei.xlsx,
河北,2024,物理,国家专项,578,30257,本科批,hebut_hebei.xlsx,
河北,2025,物理,国家专项,592,33539,本科批,hebut_hebei.xlsx,
河北,2023,历史,地方专项,551,10978,本科批,hebut_hebei.xlsx,
河北,2024,历史,地方专项,580,7940,本科批,hebut_hebei.xlsx,
河北,2025,历史,地方专项,600,6004,本科批,hebut_hebei.xlsx,
河北,2023,物理,地方专项,566,35627,本科批,hebut_hebei.xlsx,
河北,2024,物理,地方专项,565,41291,本科批,hebut_hebei.xlsx,
河北,2025,物理,地方专项,588,37123,本科批,hebut_hebei.xlsx,
河北,2023,历史,民族预科,565,7770,本科批,hebut_hebei.xlsx,
河北,2024,历史,民族预科,578,8380,本科批,hebut_hebei.xlsx,
河北,2025,历史,民族预科,589,8746,本科批,hebut_hebei.xlsx,
河北,2023,物理,民族预科,565,36315,本科批,hebut_hebei.xlsx,
河北,2024,物理,民族预科,567,39432,本科批,hebut_hebei.xlsx,
河北,2025,物理,民族预科,585,39881,本科批,hebut_hebei.xlsx,
河北,2023,物理,软件工程,607,12700,本科批,hebut_hebei.xlsx,
河北,2024,物理,软件工程,606,12898,本科批,hebut_hebei.xlsx,
河北,2025,物理,软件工程,,,本科批,hebut_hebei.xlsx,
河北,2023,物理,安全工程,576,28891,本科批,hebut_hebei.xlsx,
河北,2024,物理,安全工程,574,33476,本科批,hebut_hebei.xlsx,
河北,2025,物理,安全工程,,,本科批,hebut_hebei.xlsx,
河北,2023,物理,道路桥梁与渡河工程,573,30842,本科批,hebut_hebei.xlsx,
河北,2024,物理,道路桥梁与渡河工程,574,33476,本科批,hebut_hebei.xlsx,
河北,2025,物理,道路桥梁与渡河工程,,,本科批,hebut_hebei.xlsx,
河北,2023,物理,环保设备工程,567,34910,本科批,hebut_hebei.xlsx,
河北,2024,物理,环保设备工程,574,33476,本科批,hebut_hebei.xlsx,
河北,2025,物理,环保设备工程,,,本科批,hebut_hebei.xlsx,
河北,2023,物理,城乡规划,562,38600,本科批,hebut_hebei.xlsx,
河北,2024,物理,城乡规划,570,36748,本科批,hebut_hebei.xlsx,
河北,2025,物理,城乡规划,,,本科批,hebut_hebei.xlsx,
河北,2023,物理,经济学,591,20057,本科批,hebut_hebei.xlsx,
河北,2024,物理,经济学,,,本科批,hebut_hebei.xlsx,
河北,2025,物理,经济学,,,本科批,hebut_hebei.xlsx,
河北,2023,物理,数学类,596,17507,本科批,hebut_hebei.xlsx,
河北,2024,物理,数学类,595,18663,本科批,hebut_hebei.xlsx,
河北,2025,物理,数学类,,,本科批,hebut_hebei.xlsx,
河北,2023,物理,公共管理类,590,20607,本科批,hebut_hebei.xlsx,
河北,2024,物理,公共管理类,592,20511,本科批,hebut_hebei.xlsx,
河北,2025,物理,公共管理类,,,本科批,hebut_hebei.xlsx,
河北,2023,物理,材料类,575,29516,本科批,hebut_hebei.xlsx,
河北,2024,物理,材料类,,,本科批,hebut_hebei.xlsx,
河北,2025,物理,材料类,,,本科批,hebut_hebei.xlsx,
